From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
A07.3	Isosporiasis	A07.3		N	4
A07.8	Other specified protozoal intestinal diseases	A07.8		N	4
A07.9	Protozoal intestinal disease, unspecified	A07.9		N	4
A08	Viral and other specified intestinal infections	A08		N	3
A08.0	Rotaviral enteritis	A08.0		N	4
A08.1	Acute gastroenteropathy due to Norwalk agent	A08.1		N	4
A08.2	Adenoviral enteritis	A08.2		N	4
A08.3	Other viral enteritis	A08.3		N	4
A08.4	Viral intestinal infection, unspecified	A08.4		N	4
A08.5	Other specified intestinal infections	A08.5		N	4
A09	Other gastroenteritis and colitis of infectious and unspecified origin	A09.X or K52		Y	3
A09.0	Other and unspecified gastroenteritis and colitis of infectious origin	A09.X		Y	4
A09.9	Gastroenteritis and colitis of unspecified origin	A09.X or K52.-		Y	4
A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	A15		N	3
A15.0	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	A15.0		N	4
A15.1	Tuberculosis of lung, confirmed by culture only	A15.1		N	4
A15.2	Tuberculosis of lung, confirmed histologically	A15.2		N	4
A15.3	Tuberculosis of lung, confirmed by unspecified means	A15.3		N	4
A15.4	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	A15.4		N	4
A15.5	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	A15.5		N	4
A15.6	Tuberculous pleurisy, confirmed bacteriologically and histologically	A15.6		N	4
A15.7	Primary respiratory tuberculosis, confirmed bacteriologically and histologically	A15.7		N	4
A15.8	Other respiratory tuberculosis, confirmed bacteriologically and histologically	A15.8		N	4
A15.9	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	A15.9		N	4
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	A16		N	3
A16.0	Tuberculosis of lung, bacteriologically and histologically negative	A16.0		N	4
A16.1	Tuberculosis of lung, bacteriological and histological examination not done	A16.1		N	4
A16.2	Tuberculosis of lung, without mention of bacteriological or histological confirmation	A16.2		N	4
A16.3	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	A16.3		N	4
A16.4	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	A16.4		N	4
A16.5	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	A16.5		N	4
A16.7	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	A16.7		N	4
A16.8	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	A16.8		N	4
A16.9	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	A16.9		N	4
A17D	Tuberculosis of nervous system	A17D		N	3
A17.0D	Tuberculous meningitis	A17.0D	Associated asterisk code G01.X	N	4
A17.1D	Meningeal tuberculoma	A17.1D	Associated asterisk code G07.X	N	4
A17.8D	Other tuberculosis of nervous system	A17.8D		N	4
A17.9D	Tuberculosis of nervous system, unspecified	A17.9D	Associated asterisk code G99.8	N	4
A18	Tuberculosis of other organs	A18		N	3
A18.0D	Tuberculosis of bones and joints	A18.0D		N	4
A18.1	Tuberculosis of genitourinary system	A18.1D		Y	4
A18.2	Tuberculous peripheral lymphadenopathy	A18.2		N	4
A18.3	Tuberculosis of intestines, peritoneum and mesenteric glands	A18.3		N	4
A18.4	Tuberculosis of skin and subcutaneous tissue	A18.4		N	4
A18.5	Tuberculosis of eye	A18.5D		Y	4
A18.6	Tuberculosis of ear	A18.6D		Y	4
A18.7D	Tuberculosis of adrenal glands	A18.7D	Associated asterisk code E35.1	N	4
A18.8	Tuberculosis of other specified organs	A18.8D		Y	4
A19	Miliary tuberculosis	A19		N	3
A19.0	Acute miliary tuberculosis of a single specified site	A19.0		N	4
A19.1	Acute miliary tuberculosis of multiple sites	A19.1		N	4
A19.2	Acute miliary tuberculosis, unspecified	A19.2		N	4
A19.8	Other miliary tuberculosis	A19.8		N	4
A19.9	Miliary tuberculosis, unspecified	A19.9		N	4
A20	Plague	A20		N	3
A20.0	Bubonic plague	A20.0		N	4
A20.1	Cellulocutaneous plague	A20.1		N	4
A20.2	Pneumonic plague	A20.2		N	4
A20.3	Plague meningitis	A20.3		N	4
A20.7	Septicaemic plague	A20.7		N	4
A20.8	Other forms of plague	A20.8		N	4
A20.9	Plague, unspecified	A20.9		N	4
A21	Tularaemia	A21		N	3
A21.0	Ulceroglandular tularaemia	A21.0		N	4
A21.1	Oculoglandular tularaemia	A21.1		N	4
A21.2	Pulmonary tularaemia	A21.2		N	4
A21.3	Gastrointestinal tularaemia	A21.3		N	4
A21.7	Generalized tularaemia	A21.7		N	4
A21.8	Other forms of tularaemia	A21.8		N	4
A21.9	Tularaemia, unspecified	A21.9		N	4
A22	Anthrax	A22		N	3
A22.0	Cutaneous anthrax	A22.0		N	4
A22.1	Pulmonary anthrax	A22.1		N	4
A22.2	Gastrointestinal anthrax	A22.2		N	4
A22.7	Anthrax sepsis	A22.7		N	4
A22.8	Other forms of anthrax	A22.8		N	4
A22.9	Anthrax, unspecified	A22.9		N	4
A23	Brucellosis	A23		N	3
A23.0	Brucellosis due to Brucella melitensis	A23.0		N	4
A23.1	Brucellosis due to Brucella abortus	A23.1		N	4
A23.2	Brucellosis due to Brucella suis	A23.2		N	4
A23.3	Brucellosis due to Brucella canis	A23.3		N	4
A23.8	Other brucellosis	A23.8		N	4
A23.9	Brucellosis, unspecified	A23.9		N	4
A24	Glanders and melioidosis	A24		N	3
A24.0	Glanders	A24.0 or A48.8 or A49.8		Y	4
A24.1	Acute and fulminating melioidosis	A24.1		N	4
A24.2	Subacute and chronic melioidosis	A24.2		N	4
A24.3	Other melioidosis	A24.3		N	4
A24.4	Melioidosis, unspecified	A24.4 or A48.8 or A49.8		Y	4
A25	Rat-bite fevers	A25		N	3
A25.0	Spirillosis	A25.0		N	4
A25.1	Streptobacillosis	A25.1		N	4
A25.9	Rat-bite fever, unspecified	A25.9		N	4
A26	Erysipeloid	A26		N	3
A26.0	Cutaneous erysipeloid	A26.0		N	4
A26.7	Erysipelothrix sepsis	A26.7		N	4
A26.8	Other forms of erysipeloid	A26.8		N	4
A26.9	Erysipeloid, unspecified	A26.9		N	4
A27	Leptospirosis	A27		N	3
A27.0	Leptospirosis icterohaemorrhagica	A27.0		N	4
A27.8	Other forms of leptospirosis	A27.8		N	4
A27.9	Leptospirosis, unspecified	A27.9		N	4
A28	Other zoonotic bacterial diseases, not elsewhere classified	A28		N	3
A28.0	Pasteurellosis	A28.0		N	4
A28.1	Cat-scratch disease	A28.1		N	4
A28.2	Extraintestinal yersiniosis	A28.2		N	4
A28.8	Other specified zoonotic bacterial diseases, not elsewhere classified	A28.8		N	4
A28.9	Zoonotic bacterial disease, unspecified	A28.9		N	4
A30	Leprosy [Hansen's disease]	A30		N	3
A30.0	Indeterminate leprosy	A30.0		N	4
A30.1	Tuberculoid leprosy	A30.1		N	4
A30.2	Borderline tuberculoid leprosy	A30.2		N	4
A30.3	Borderline leprosy	A30.3		N	4
A30.4	Borderline lepromatous leprosy	A30.4		N	4
A30.5	Lepromatous leprosy	A30.5		N	4
A30.8	Other forms of leprosy	A30.8		N	4
A30.9	Leprosy, unspecified	A30.9		N	4
A31	Infection due to other mycobacteria	A31		N	3
A31.0	Pulmonary mycobacterial infection	A31.0		N	4
A31.1	Cutaneous mycobacterial infection	A31.1		N	4
A31.8	Other mycobacterial infections	A31.8		N	4
A31.9	Mycobacterial infection, unspecified	A31.9		N	4
A32	Listeriosis	A32		N	3
A32.0	Cutaneous listeriosis	A32.0		N	4
A32.1D	Listerial meningitis and meningoencephalitis	A32.1D		N	4
A32.7	Listerial sepsis	A32.7		N	4
A32.8	Other forms of listeriosis	A32.8		N	4
A32.9	Listeriosis, unspecified	A32.9		N	4
A33.X	Tetanus neonatorum	A33.X		N	3
A34.X	Obstetrical tetanus	A34.X		N	3
A35.X	Other tetanus	A35.X		N	3
A36	Diphtheria	A36		N	3
A36.0	Pharyngeal diphtheria	A36.0		N	4
A36.1	Nasopharyngeal diphtheria	A36.1		N	4
A36.2	Laryngeal diphtheria	A36.2		N	4
A36.3	Cutaneous diphtheria	A36.3		N	4
A36.8	Other diphtheria	A36.8		N	4
A36.9	Diphtheria, unspecified	A36.9		N	4
A37	Whooping cough	A37		N	3
A37.0	Whooping cough due to Bordetella pertussis	A37.0		N	4
A37.1	Whooping cough due to Bordetella parapertussis	A37.1		N	4
A37.8	Whooping cough due to other Bordetella species	A37.8		N	4
A37.9	Whooping cough, unspecified	A37.9		N	4
A38.X	Scarlet fever	A38.X		N	3
A39	Meningococcal infection	A39		N	3
A39.0D	Meningococcal meningitis	A39.0D	Associated asterisk code G01.X	N	4
A39.1D	Waterhouse-Friderichsen syndrome	A39.1D	Associated asterisk code E35.1	N	4
A39.2	Acute meningococcaemia	A39.2		N	4
A39.3	Chronic meningococcaemia	A39.3		N	4
A39.4	Meningococcaemia, unspecified	A39.4		N	4
A39.5D	Meningococcal heart disease	A39.5D		N	4
A39.8	Other meningococcal infections	A39.8		N	4
A39.9	Meningococcal infection, unspecified	A39.9		N	4
A40	Streptococcal sepsis	A40		N	3
A40.0	Sepsis due to streptococcus, group A	A40.0		N	4
A40.1	Sepsis due to streptococcus, group B	A40.1		N	4
A40.2	Sepsis due to streptococcus, group D	A40.2		N	4
A40.3	Sepsis due to Streptococcus pneumoniae	A40.3		N	4
A40.8	Other streptococcal sepsis	A40.8		N	4
A40.9	Streptococcal sepsis, unspecified	A40.9		N	4
A41	Other sepsis	A41		N	3
A41.0	Sepsis due to Staphylococcus aureus	A41.0		N	4
A41.1	Sepsis due to other specified staphylococcus	A41.1		N	4
A41.2	Sepsis due to unspecified staphylococcus	A41.2		N	4
A41.3	Sepsis due to Haemophilus influenzae	A41.3		N	4
A41.4	Sepsis due to anaerobes	A41.4		N	4
A41.5	Sepsis due to other Gram-negative organisms	A41.5		N	4
A41.8	Other specified sepsis	A41.8		N	4
A41.9	Sepsis, unspecified	A41.9		N	4
A42	Actinomycosis	A42		N	3
A42.0	Pulmonary actinomycosis	A42.0		N	4
A42.1	Abdominal actinomycosis	A42.1		N	4
A42.2	Cervicofacial actinomycosis	A42.2		N	4
A42.7	Actinomycotic sepsis	A42.7		N	4
A42.8	Other forms of actinomycosis	A42.8		N	4
A42.9	Actinomycosis, unspecified	A42.9		N	4
A43	Nocardiosis	A43		N	3
A43.0	Pulmonary nocardiosis	A43.0		N	4
A43.1	Cutaneous nocardiosis	A43.1		N	4
A43.8	Other forms of nocardiosis	A43.8		N	4
A43.9	Nocardiosis, unspecified	A43.9		N	4
A44	Bartonellosis	A44		N	3
A44.0	Systemic bartonellosis	A44.0		N	4
A44.1	Cutaneous and mucocutaneous bartonellosis	A44.1		N	4
A44.8	Other forms of bartonellosis	A44.8		N	4
A44.9	Bartonellosis, unspecified	A44.9		N	4
A46.X	Erysipelas	A46.X		N	3
A48	Other bacterial diseases, not elsewhere classified	A48		N	3
A48.0	Gas gangrene	A48.0		N	4
A48.1	Legionnaires' disease	A48.1		N	4
A48.2	Nonpneumonic Legionnaires' disease [Pontiac fever]	A48.2		N	4
A48.3	Toxic shock syndrome	A48.3		N	4
A48.4	Brazilian purpuric fever	A48.4		N	4
A48.8	Other specified bacterial diseases	A48.8		N	4
A49	Bacterial infection of unspecified site	A49		N	3
A49.0	Staphylococcal infection, unspecified site	A49.0		N	4
A49.1	Streptococcal infection, unspecified site	A49.1		N	4
A49.2	Haemophilus influenzae infection, unspecified site	A49.2		N	4
A49.3	Mycoplasma infection, unspecified site	A49.3		N	4
A49.8	Other bacterial infections of unspecified site	A49.8		N	4
A49.9	Bacterial infection, unspecified	A49.9		N	4
A50	Congenital syphilis	A50		N	3
A50.0	Early congenital syphilis, symptomatic	A50.0		N	4
A50.1	Early congenital syphilis, latent	A50.1		N	4
A50.2	Early congenital syphilis, unspecified	A50.2		N	4
A50.3	Late congenital syphilitic oculopathy	A50.3		N	4
A50.4	Late congenital neurosyphilis [juvenile neurosyphilis]	A50.4		N	4
A50.5	Other late congenital syphilis, symptomatic	A50.5		N	4
A50.6	Late congenital syphilis, latent	A50.6		N	4
A50.7	Late congenital syphilis, unspecified	A50.7		N	4
A50.9	Congenital syphilis, unspecified	A50.9		N	4
A51	Early syphilis	A51		N	3
A51.0	Primary genital syphilis	A51.0		N	4
A51.1	Primary anal syphilis	A51.1		N	4
A51.2	Primary syphilis of other sites	A51.2		N	4
A51.3	Secondary syphilis of skin and mucous membranes	A51.3		N	4
A51.4	Other secondary syphilis	A51.4		N	4
A51.5	Early syphilis, latent	A51.5		N	4
A51.9	Early syphilis, unspecified	A51.9		N	4
A52	Late syphilis	A52		N	3
A52.0D	Cardiovascular syphilis	A52.0D		N	4
A52.1	Symptomatic neurosyphilis	A52.1		N	4
A52.2	Asymptomatic neurosyphilis	A52.2		N	4
A52.3	Neurosyphilis, unspecified	A52.3		N	4
A52.7	Other symptomatic late syphilis	A52.7		N	4
A52.8	Late syphilis, latent	A52.8		N	4
A52.9	Late syphilis, unspecified	A52.9		N	4
A53	Other and unspecified syphilis	A53		N	3
A53.0	Latent syphilis, unspecified as early or late	A53.0		N	4
A53.9	Syphilis, unspecified	A53.9		N	4
A54	Gonococcal infection	A54		N	3
A54.0	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess	A54.0		N	4
A54.1	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess	A54.1		N	4
A54.2	Gonococcal pelviperitonitis and other gonococcal genitourinary infections	A54.2D		Y	4
A54.3	Gonococcal infection of eye	A54.3		N	4
A54.4D	Gonococcal infection of musculoskeletal system	A54.4D		N	4
A54.5	Gonococcal pharyngitis	A54.5		N	4
A54.6	Gonococcal infection of anus and rectum	A54.6		N	4
A54.8	Other gonococcal infections	A54.8		N	4
A54.9	Gonococcal infection, unspecified	A54.9		N	4
A55.X	Chlamydial lymphogranuloma (venereum)	A55.X		N	3
A56	Other sexually transmitted chlamydial diseases	A56		N	3
A56.0	Chlamydial infection of lower genitourinary tract	A56.0		N	4
A56.1	Chlamydial infection of pelviperitoneum and other genitourinary organs	A56.1D		Y	4
A56.2	Chlamydial infection of genitourinary tract, unspecified	A56.2		N	4
A56.3	Chlamydial infection of anus and rectum	A56.3		N	4
A56.4	Chlamydial infection of pharynx	A56.4		N	4
A56.8	Sexually transmitted chlamydial infection of other sites	A56.8		N	4
A57.X	Chancroid	A57.X		N	3
A58.X	Granuloma inguinale	A58.X		N	3
A59	Trichomoniasis	A59		N	3
A59.0	Urogenital trichomoniasis	A59.0		N	4
A59.8	Trichomoniasis of other sites	A59.8		N	4
A59.9	Trichomoniasis, unspecified	A59.9		N	4
A60	Anogenital herpesviral [herpes simplex] infection	A60		N	3
A60.0	Herpesviral infection of genitalia and urogenital tract	A60.0		N	4
A60.1	Herpesviral infection of perianal skin and rectum	A60.1		N	4
A60.9	Anogenital herpesviral infection, unspecified	A60.9		N	4
A63	Other predominantly sexually transmitted diseases, not elsewhere classified	A63		N	3
A63.0	Anogenital (venereal) warts	A63.0		N	4
A63.8	Other specified predominantly sexually transmitted diseases	A63.8		N	4
A64.X	Unspecified sexually transmitted disease	A64.X		N	3
A65.X	Nonvenereal syphilis	A65.X		N	3
A66	Yaws	A66		N	3
A66.0	Initial lesions of yaws	A66.0		N	4
A66.1	Multiple papillomata and wet crab yaws	A66.1		N	4
A66.2	Other early skin lesions of yaws	A66.2		N	4
A66.3	Hyperkeratosis of yaws	A66.3		N	4
A66.4	Gummata and ulcers of yaws	A66.4		N	4
A66.5	Gangosa	A66.5		N	4
A66.6	Bone and joint lesions of yaws	A66.6		N	4
A66.7	Other manifestations of yaws	A66.7		N	4
A66.8	Latent yaws	A66.8		N	4
A66.9	Yaws, unspecified	A66.9		N	4
A67	Pinta [carate]	A67		N	3
A67.0	Primary lesions of pinta	A67.0		N	4
A67.1	Intermediate lesions of pinta	A67.1		N	4
A67.2	Late lesions of pinta	A67.2		N	4
A67.3	Mixed lesions of pinta	A67.3		N	4
A67.9	Pinta, unspecified	A67.9		N	4
A68	Relapsing fevers	A68		N	3
A68.0	Louse-borne relapsing fever	A68.0		N	4
A68.1	Tick-borne relapsing fever	A68.1		N	4
A68.9	Relapsing fever, unspecified	A68.9		N	4
A69	Other spirochaetal infections	A69		N	3
A69.0	Necrotizing ulcerative stomatitis	A69.0		N	4
A69.1	Other Vincent's infections	A69.1		N	4
A69.2	Lyme disease	A69.2		N	4
A69.8	Other specified spirochaetal infections	A69.8		N	4
A69.9	Spirochaetal infection, unspecified	A69.9		N	4
A70.X	Chlamydia psittaci infection	A70.X		N	3
A71	Trachoma	A71		N	3
A71.0	Initial stage of trachoma	A71.0		N	4
A71.1	Active stage of trachoma	A71.1		N	4
A71.9	Trachoma, unspecified	A71.9		N	4
A74	Other diseases caused by chlamydiae	A74		N	3
A74.0D	Chlamydial conjunctivitis	A74.0D	Associated asterisk code H13.1	N	4
A74.8	Other chlamydial diseases	A74.8		N	4
A74.9	Chlamydial infection, unspecified	A74.9		N	4
A75	Typhus fever	A75		N	3
A75.0	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	A75.0		N	4
A75.1	Recrudescent typhus [Brill's disease]	A75.1		N	4
A75.2	Typhus fever due to Rickettsia typhi	A75.2		N	4
A75.3	Typhus fever due to Rickettsia tsutsugamushi	A75.3		N	4
A75.9	Typhus fever, unspecified	A75.9		N	4
A77	Spotted fever [tick-borne rickettsioses]	A77		N	3
A77.0	Spotted fever due to Rickettsia rickettsii	A77.0		N	4
A77.1	Spotted fever due to Rickettsia conorii	A77.1		N	4
A77.2	Spotted fever due to Rickettsia sibirica	A77.2		N	4
A77.3	Spotted fever due to Rickettsia australis	A77.3		N	4
A77.8	Other spotted fevers	A77.8		N	4
A77.9	Spotted fever, unspecified	A77.9		N	4
A78.X	Q fever	A78.X		N	3
A79	Other rickettsioses	A79		N	3
A79.0	Trench fever	A79.0		N	4
A79.1	Rickettsialpox due to Rickettsia akari	A79.1		N	4
A79.8	Other specified rickettsioses	A79.8		N	4
A79.9	Rickettsiosis, unspecified	A79.9		N	4
A80	Acute poliomyelitis	A80		N	3
A80.0	Acute paralytic poliomyelitis, vaccine-associated	A80.0		N	4
A80.1	Acute paralytic poliomyelitis, wild virus, imported	A80.1		N	4
A80.2	Acute paralytic poliomyelitis, wild virus, indigenous	A80.2		N	4
A80.3	Acute paralytic poliomyelitis, other and unspecified	A80.3		N	4
A80.4	Acute nonparalytic poliomyelitis	A80.4		N	4
A80.9	Acute poliomyelitis, unspecified	A80.9		N	4
A81	Atypical virus infections of central nervous system	A81		N	3
A81.0	Creutzfeldt-Jakob disease	A81.0		N	4
A81.1	Subacute sclerosing panencephalitis	A81.1		N	4
A81.2	Progressive multifocal leukoencephalopathy	A81.2		N	4
A81.8	Other atypical virus infections of central nervous system	A81.8		N	4
A81.9	Atypical virus infection of central nervous system, unspecified	A81.9		N	4
A82	Rabies	A82		N	3
A82.0	Sylvatic rabies	A82.0		N	4
A82.1	Urban rabies	A82.1		N	4
A82.9	Rabies, unspecified	A82.9		N	4
A83	Mosquito-borne viral encephalitis	A83		N	3
A83.0	Japanese encephalitis	A83.0		N	4
A83.1	Western equine encephalitis	A83.1		N	4
A83.2	Eastern equine encephalitis	A83.2		N	4
A83.3	St Louis encephalitis	A83.3		N	4
A83.4	Australian encephalitis	A83.4		N	4
A83.5	California encephalitis	A83.5		N	4
A83.6	Rocio virus disease	A83.6		N	4
A83.8	Other mosquito-borne viral encephalitis	A83.8		N	4
A83.9	Mosquito-borne viral encephalitis, unspecified	A83.9		N	4
A84	Tick-borne viral encephalitis	A84		N	3
A84.0	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]	A84.0		N	4
A84.1	Central European tick-borne encephalitis	A84.1		N	4
A84.8	Other tick-borne viral encephalitis	A84.8		N	4
A84.9	Tick-borne viral encephalitis, unspecified	A84.9		N	4
A85	Other viral encephalitis, not elsewhere classified	A85		N	3
A85.0D	Enteroviral encephalitis	A85.0D	Associated asterisk code G05.1	N	4
A85.1D	Adenoviral encephalitis	A85.1D	Associated asterisk code G05.1	N	4
A85.2	Arthropod-borne viral encephalitis, unspecified	A85.2		N	4
A85.8	Other specified viral encephalitis	A85.8		N	4
A86.X	Unspecified viral encephalitis	A86.X		N	3
A87	Viral meningitis	A87		N	3
A87.0D	Enteroviral meningitis	A87.0D	Associated asterisk code G02.0	N	4
A87.1D	Adenoviral meningitis	A87.1D	Associated asterisk code G02.0	N	4
A87.2	Lymphocytic choriomeningitis	A87.2		N	4
A87.8	Other viral meningitis	A87.8		N	4
A87.9	Viral meningitis, unspecified	A87.9		N	4
A88	Other viral infections of central nervous system, not elsewhere classified	A88		N	3
A88.0	Enteroviral exanthematous fever [Boston exanthem]	A88.0		N	4
A88.1	Epidemic vertigo	A88.1		N	4
A88.8	Other specified viral infections of central nervous system	A88.8		N	4
A89.X	Unspecified viral infection of central nervous system	A89.X		N	3
A90.X	Dengue fever [classical dengue]	A90.X		N	3
A91.X	Dengue haemorrhagic fever	A91.X		N	3
A92	Other mosquito-borne viral fevers	A92		N	3
A92.0	Chikungunya virus disease	A92.0		N	4
A92.1	O'nyong-nyong fever	A92.1		N	4
A92.2	Venezuelan equine fever	A92.2		N	4
A92.3	West Nile virus infection	A92.3		N	4
A92.4	Rift Valley fever	A92.4		N	4
A92.8	Other specified mosquito-borne viral fevers	A92.8		N	4
A92.9	Mosquito-borne viral fever, unspecified	A92.9		N	4
A93	Other arthropod-borne viral fevers, not elsewhere classified	A93		N	3
A93.0	Oropouche virus disease	A93.0		N	4
A93.1	Sandfly fever	A93.1		N	4
A93.2	Colorado tick fever	A93.2		N	4
A93.8	Other specified arthropod-borne viral fevers	A93.8		N	4
A94.X	Unspecified arthropod-borne viral fever	A94.X		N	3
A95	Yellow fever	A95		N	3
A95.0	Sylvatic yellow fever	A95.0		N	4
A95.1	Urban yellow fever	A95.1		N	4
A95.9	Yellow fever, unspecified	A95.9		N	4
A96	Arenaviral haemorrhagic fever	A96		N	3
A96.0	Junin haemorrhagic fever	A96.0		N	4
A96.1	Machupo haemorrhagic fever	A96.1		N	4
A96.2	Lassa fever	A96.2		N	4
A96.8	Other arenaviral haemorrhagic fevers	A96.8		N	4
A96.9	Arenaviral haemorrhagic fever, unspecified	A96.9		N	4
A98	Other viral haemorrhagic fevers, not elsewhere classified	A98		N	3
A98.0	Crimean-Congo haemorrhagic fever	A98.0		N	4
A98.1	Omsk haemorrhagic fever	A98.1		N	4
A98.2	Kyasanur Forest disease	A98.2		N	4
A98.3	Marburg virus disease	A98.3		N	4
A98.4	Ebola virus disease	A98.4		N	4
A98.5	Haemorrhagic fever with renal syndrome	A98.5		N	4
A98.8	Other specified viral haemorrhagic fevers	A98.8		N	4
A99.X	Unspecified viral haemorrhagic fever	A99.X		N	3
B00	Herpesviral [herpes simplex] infections	B00		N	3
B00.0	Eczema herpeticum	B00.0		N	4
B00.1	Herpesviral vesicular dermatitis	B00.1		N	4
B00.2	Herpesviral gingivostomatitis and pharyngotonsillitis	B00.2		N	4
B00.3D	Herpesviral meningitis	B00.3D	Associated asterisk code G02.0 	N	4
B00.4D	Herpesviral encephalitis	B00.4D	Associated asterisk code G05.1 	N	4
B00.5	Herpesviral ocular disease	B00.5D		Y	4
B00.7	Disseminated herpesviral disease	B00.7		N	4
B00.8	Other forms of herpesviral infection	B00.8		N	4
B00.9	Herpesviral infection, unspecified	B00.9		N	4
B01	Varicella [chickenpox]	B01		N	3
B01.0D	Varicella meningitis	B01.0D	Associated asterisk code G02.0 	N	4
B01.1D	Varicella encephalitis	B01.1D	Associated asterisk code G05.1 	N	4
B01.2D	Varicella pneumonia	B01.2D	Associated asterisk code J17.1 	N	4
B01.8	Varicella with other complications	B01.8		N	4
B01.9	Varicella without complication	B01.9		N	4
B02	Zoster [herpes zoster]	B02		N	3
B02.0D	Zoster encephalitis	B02.0D	Associated asterisk code G05.1 	N	4
B02.1D	Zoster meningitis	B02.1D	Associated asterisk code G02.0 	N	4
B02.2D	Zoster with other nervous system involvement	B02.2D		N	4
B02.3	Zoster ocular disease	B02.3D		Y	4
B02.7	Disseminated zoster	B02.7		N	4
B02.8	Zoster with other complications	B02.8		N	4
B02.9	Zoster without complication	B02.9		N	4
B03.X	Smallpox	B03.X		N	3
