concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Coding.System..ICD.10.Read.	attributes.Category	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181433	G30y.00	Other acute myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181421	G30X000	Acute ST segment elevation myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181429	G32..00	Old myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181439	G301100	Acute anteroseptal infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181435	G30..14	Heart attack	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181424	G30..00	Acute myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181423	G307000	Acute non-Q wave infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181434	G30yz00	Other acute myocardial infarction NOS	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181436	14AH.00	H/O: Myocardial infarction in last year	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181428	G307.00	Acute subendocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181426	G302.00	Acute inferolateral infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2651	6715	2022-04-04T07:08:18.604403Z	2974	4011	1	2974	3956	181431	G32..12	Personal history of myocardial infarction	res69: myocardial_infarction	Read	diagnostic	6715	Myocardial Infarction - Primary Care	5	Read codes v2	Read codes v2	PH886	1851	Myocardial Infarction
2652	6717	2022-04-04T07:08:19.028047Z	2975	4012	1	2975	3957	181443	I22	Subsequent myocardial infarction	res69: myocardial_infarction	ICD-10	diagnostic	6717	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH886	1851	Myocardial Infarction
2652	6717	2022-04-04T07:08:19.028047Z	2975	4012	1	2975	3957	181444	I23	Certain current complications following acute myocardial infarction	res69: myocardial_infarction	ICD-10	diagnostic	6717	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH886	1851	Myocardial Infarction
2652	6717	2022-04-04T07:08:19.028047Z	2975	4012	1	2975	3957	181442	I21	Acute myocardial infarction	res69: myocardial_infarction	ICD-10	diagnostic	6717	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH886	1851	Myocardial Infarction
