Concept	Code	Source	Description
Heart Failure	1264003007	SNOMED	Acute right ventricular failure following incision of heart (disorder)
Heart Failure	443254009	SNOMED	Acute systolic heart failure (disorder)
Heart Failure	55565007	SNOMED	Cardiac failure after obstetrical surgery AND/OR other procedure including delivery (disorder)
Heart Failure	89819002	SNOMED	Cardiac insufficiency during AND/OR resulting from a procedure (disorder)
Heart Failure	60856006	SNOMED	Cardiac insufficiency following cardiac surgery (disorder)
Heart Failure	5053004	SNOMED	Cardiac insufficiency due to prosthesis (disorder)
Heart Failure	871617000	SNOMED	Low output heart failure due to and following Fontan operation (disorder)
Heart Failure	445236007	SNOMED	Cardiorenal syndrome (disorder)
Heart Failure	194781004	SNOMED	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)
Heart Failure	48447003	SNOMED	Chronic heart failure (disorder)
Heart Failure	88805009	SNOMED	Chronic congestive heart failure (disorder)
Heart Failure	5375005	SNOMED	Chronic left-sided congestive heart failure (disorder)
Heart Failure	43736008	SNOMED	Rheumatic left ventricular failure (disorder)
Heart Failure	66989003	SNOMED	Chronic right-sided congestive heart failure (disorder)
Heart Failure	82523003	SNOMED	Congestive rheumatic heart failure (disorder)
Heart Failure	441530006	SNOMED	Chronic diastolic heart failure (disorder)
Heart Failure	153941000119100	SNOMED	Chronic combined systolic and diastolic heart failure (disorder)
Heart Failure	111283005	SNOMED	Chronic left-sided heart failure (disorder)
Heart Failure	10335000	SNOMED	Chronic right-sided heart failure (disorder)
Heart Failure	79955004	SNOMED	Chronic cor pulmonale (disorder)
Heart Failure	441481004	SNOMED	Chronic systolic heart failure (disorder)
Heart Failure	424404003	SNOMED	Decompensated chronic heart failure (disorder)
Heart Failure	195112003	SNOMED	Compensated cardiac failure (disorder)
Heart Failure	206586007	SNOMED	Congenital cardiac failure (disorder)
Heart Failure	42343007	SNOMED	Congestive heart failure (disorder)
Heart Failure	194767001	SNOMED	Benign hypertensive heart disease with congestive cardiac failure (disorder)
Heart Failure	92506005	SNOMED	Biventricular congestive heart failure (disorder)
Heart Failure	72481000119103	SNOMED	Congestive heart failure as early postoperative complication (disorder)
Heart Failure	101281000119107	SNOMED	Congestive heart failure due to cardiomyopathy (disorder)
Heart Failure	426263006	SNOMED	Congestive heart failure due to left ventricular systolic dysfunction (disorder)
Heart Failure	426611007	SNOMED	Congestive heart failure due to valvular disease (disorder)
Heart Failure	67441000119101	SNOMED	Congestive heart failure stage C (disorder)
Heart Failure	1.56295410001191E+16	SNOMED	Congestive heart failure stage C due to ischemic cardiomyopathy (disorder)
Heart Failure	67431000119105	SNOMED	Congestive heart failure stage D (disorder)
Heart Failure	23341000119109	SNOMED	Congestive heart failure with right heart failure (disorder)
Heart Failure	96311000119109	SNOMED	Exacerbation of congestive heart failure (disorder)
Heart Failure	194779001	SNOMED	Hypertensive heart and renal disease with (congestive) heart failure (disorder)
Heart Failure	15781000119107	SNOMED	Hypertensive heart AND chronic kidney disease with congestive heart failure (disorder)
Heart Failure	5148006	SNOMED	Hypertensive heart disease with congestive heart failure (disorder)
Heart Failure	83105008	SNOMED	Malignant hypertensive heart disease with congestive heart failure (disorder)
Heart Failure	698594003	SNOMED	Symptomatic congestive heart failure (disorder)
Heart Failure	195111005	SNOMED	Decompensated cardiac failure (disorder)
Heart Failure	418304008	SNOMED	Diastolic heart failure (disorder)
Heart Failure	120891000119109	SNOMED	Diastolic heart failure stage C (disorder)
Heart Failure	120881000119106	SNOMED	Diastolic heart failure stage D (disorder)
Heart Failure	462172006	SNOMED	Fetal heart failure (disorder)
Heart Failure	704242009	SNOMED	Fetal heart failure due to extracardiac disease (disorder)
Heart Failure	462174007	SNOMED	Fetal heart failure with myocardial hypertrophy (disorder)
Heart Failure	462175008	SNOMED	Fetal heart failure with redistribution of cardiac output (disorder)
Heart Failure	233924009	SNOMED	Heart failure as a complication of care (disorder)
Heart Failure	471880001	SNOMED	Heart failure due to end stage congenital heart disease (disorder)
Heart Failure	898208007	SNOMED	Heart failure due to thyrotoxicosis (disorder)
Heart Failure	788950000	SNOMED	Heart failure with mid range ejection fraction (disorder)
Heart Failure	446221000	SNOMED	Heart failure with normal ejection fraction (disorder)
Heart Failure	1204206001	SNOMED	Left ventricular failure with normal ejection fraction due to cardiomyopathy (disorder)
Heart Failure	1204203009	SNOMED	Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis (disorder)
Heart Failure	1204204003	SNOMED	Left ventricular failure with normal ejection fraction due to myocarditis (disorder)
Heart Failure	1204200007	SNOMED	Left ventricular failure with normal ejection fraction due to valvular heart disease (disorder)
Heart Failure	703272007	SNOMED	Heart failure with reduced ejection fraction (disorder)
Heart Failure	703275009	SNOMED	Heart failure with reduced ejection fraction due to cardiomyopathy (disorder)
Heart Failure	703273002	SNOMED	Heart failure with reduced ejection fraction due to coronary artery disease (disorder)
Heart Failure	703276005	SNOMED	Heart failure with reduced ejection fraction due to heart valve disease (disorder)
Heart Failure	703274008	SNOMED	Heart failure with reduced ejection fraction due to myocarditis (disorder)
Heart Failure	10091002	SNOMED	High output heart failure (disorder)
Heart Failure	46113002	SNOMED	Hypertensive heart failure (disorder)
Heart Failure	609507007	SNOMED	Induced termination of pregnancy complicated by cardiac failure (disorder)
Heart Failure	85232009	SNOMED	Left heart failure (disorder)
Heart Failure	195114002	SNOMED	Acute left ventricular failure (disorder)
Heart Failure	71892000	SNOMED	Cardiac asthma (disorder)
Heart Failure	1204462004	SNOMED	Left ventricular failure with sepsis (disorder)
Heart Failure	25544003	SNOMED	Low output heart failure (disorder)
Heart Failure	44088000	SNOMED	Low cardiac output syndrome (disorder)
Heart Failure	276514007	SNOMED	Neonatal cardiac failure (disorder)
Heart Failure	722919003	SNOMED	Neonatal cardiac failure due to decreased left ventricular output (disorder)
Heart Failure	724550005	SNOMED	Neonatal cardiac failure due to pulmonary overperfusion (disorder)
Heart Failure	314206003	SNOMED	Refractory heart failure (disorder)
Heart Failure	367363000	SNOMED	Right ventricular failure (disorder)
Heart Failure	13839000	SNOMED	Bernheim's syndrome (disorder)
Heart Failure	1208846006	SNOMED	Right ventricular failure due to disorder of lung (disorder)
Heart Failure	1208848007	SNOMED	Right ventricular failure due to disorder of pulmonary circulation (disorder)
Heart Failure	83291003	SNOMED	Cor pulmonale (disorder)
Heart Failure	1208843003	SNOMED	Right ventricular failure due to heart valve disorder (disorder)
Heart Failure	1208850004	SNOMED	Right ventricular failure due to right ventricular infarction (disorder)
Heart Failure	1204468000	SNOMED	Right ventricular failure with sepsis (disorder)
Heart Failure	417996009	SNOMED	Systolic heart failure (disorder)
Heart Failure	120861000119102	SNOMED	Systolic heart failure stage C (disorder)
Heart Failure	1.56297410001191E+16	SNOMED	Systolic heart failure stage C due to ischemic cardiomyopathy (disorder)
Heart Failure	120851000119104	SNOMED	Systolic heart failure stage D (disorder)
Heart Failure	155374007	SNOMED	Heart failure (disorder)
Heart Failure	155377000	SNOMED	Heart failure NOS (disorder)
Heart Failure	266248006	SNOMED	Heart failure NOS (disorder)
Heart Failure	686171000000103	SNOMED	Heart failure NOS (disorder)
Heart Failure	392748002	SNOMED	Heart failure confirmed (situation)
Heart Failure	393703008	SNOMED	Heart failure confirmed (situation)
Heart Failure	395105005	SNOMED	Heart failure confirmed (situation)
Heart Failure	749821000000101	SNOMED	Heart failure with normal ejection fraction (disorder)
Heart Failure	1064941000000100	SNOMED	Heart failure with reduced ejection fraction (disorder)
Heart Failure	195108009	SNOMED	Heart failure: [right] or [congestive] (disorder)
Heart Failure	195117009	SNOMED	Heart: [weak] or [failure NOS] (disorder)
Heart Failure	161505003	SNOMED	History of heart failure (situation)
Heart Failure	309634009	SNOMED	History of heart failure in last year (situation)
Heart Failure	194771003	SNOMED	Hypertensive heart disease NOS with congestive cardiac failure (disorder)
Heart Failure	599271000000109	SNOMED	Hypertensive heart disease NOS with congestive cardiac failure (disorder)
Heart Failure	1010447000	SNOMED	Illegal abortion complicated by cardiac failure (disorder)
Heart Failure	155376009	SNOMED	Left ventricular failure (disorder)
Heart Failure	1010444007	SNOMED	Legal abortion complicated by cardiac failure (disorder)
Heart Failure	194763002	SNOMED	Malignant hypertensive heart disease with congestive cardiac failure (disorder)
Heart Failure	206594000	SNOMED	Neonatal cardiac failure (disorder)
Heart Failure	90727007	SNOMED	Pleural effusion due to congestive heart failure (disorder)
Heart Failure	195132002	SNOMED	Post cardiac operation heart failure NOS (disorder)
Heart Failure	603891000000100	SNOMED	Post cardiac operation heart failure NOS (disorder)
Heart Failure	403298007	SNOMED	Red half-moon nail in congestive heart failure (disorder)
Heart Failure	194753005	SNOMED	Rheumatic left ventricular failure (disorder)
Heart Failure	128404006	SNOMED	Right heart failure (disorder)
Heart Failure	426012001	SNOMED	Right heart failure due to pulmonary hypertension (disorder)
Heart Failure	233925005	SNOMED	Right ventricular failure (disorder)
Heart Failure	277638005	SNOMED	Sepsis-associated left ventricular failure (disorder)
Heart Failure	277639002	SNOMED	Sepsis-associated right ventricular failure (disorder)
Heart Failure	773587008	SNOMED	X-linked intellectual disability, cardiomegaly, congestive heart failure syndrome (disorder)
Heart Failure	213214001	SNOMED	[Cardiac insufficiency] or [heart failure] as a complication of care (disorder)
Heart Failure	I110	ICD10	Hypertensive heart disease with heart failure
Heart Failure	I130	ICD10	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
Heart Failure	I132	ICD10	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
Heart Failure	I50	ICD10	Heart failure
Heart Failure	I500	ICD10	Congestive heart failure
Heart Failure	I501	ICD10	Left ventricular failure, unspecified
Heart Failure	I502	ICD10	Systolic (congestive) heart failure
Heart Failure	I5020	ICD10	Unspecified systolic (congestive) heart failure
Heart Failure	I5021	ICD10	Acute systolic (congestive) heart failure
Heart Failure	I5022	ICD10	Chronic systolic (congestive) heart failure
Heart Failure	I5023	ICD10	Acute on chronic systolic (congestive) heart failure
Heart Failure	I503	ICD10	Diastolic (congestive) heart failure
Heart Failure	I5030	ICD10	Unspecified diastolic (congestive) heart failure
Heart Failure	I5031	ICD10	Acute diastolic (congestive) heart failure
Heart Failure	I5032	ICD10	Chronic diastolic (congestive) heart failure
Heart Failure	I5033	ICD10	Acute on chronic diastolic (congestive) heart failure
Heart Failure	I504	ICD10	Combined systolic (congestive) and diastolic (congestive) heart failure
Heart Failure	I5040	ICD10	Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
Heart Failure	I5041	ICD10	Acute combined systolic (congestive) and diastolic (congestive) heart failure
Heart Failure	I5042	ICD10	Chronic combined systolic (congestive) and diastolic (congestive) heart failure
Heart Failure	I5043	ICD10	Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
Heart Failure	I508	ICD10	Other heart failure
Heart Failure	I5081	ICD10	Right heart failure
Heart Failure	I50810	ICD10	Right heart failure, unspecified
Heart Failure	I50811	ICD10	Acute right heart failure
Heart Failure	I50812	ICD10	Chronic right heart failure
Heart Failure	I50813	ICD10	Acute on chronic right heart failure
Heart Failure	I50814	ICD10	Right heart failure due to left heart failure
Heart Failure	I5082	ICD10	Biventricular heart failure
Heart Failure	I5083	ICD10	High output heart failure
Heart Failure	I5084	ICD10	End stage heart failure
Heart Failure	I5089	ICD10	Other heart failure
Heart Failure	I509	ICD10	Heart failure, unspecified
Heart Failure	I9711	ICD10	Postprocedural cardiac insufficiency
Heart Failure	I97110	ICD10	Postprocedural cardiac insufficiency following cardiac surgery
Heart Failure	I97111	ICD10	Postprocedural cardiac insufficiency following other surgery
Heart Failure	I9713	ICD10	Postprocedural heart failure
Heart Failure	I97130	ICD10	Postprocedural heart failure following cardiac surgery
Heart Failure	I97131	ICD10	Postprocedural heart failure following other surgery
Heart Failure	O2912	ICD10	Cardiac failure due to anesthesia during pregnancy
Heart Failure	O29121	ICD10	Cardiac failure due to anesthesia during pregnancy, first trimester
Heart Failure	O29122	ICD10	Cardiac failure due to anesthesia during pregnancy, second trimester
Heart Failure	O29123	ICD10	Cardiac failure due to anesthesia during pregnancy, third trimester
Heart Failure	O29129	ICD10	Cardiac failure due to anesthesia during pregnancy, unspecified trimester
Heart Failure	P290	ICD10	Neonatal cardiac failure
Heart Failure	39891	ICD9	Rheumatic heart failure (congestive)
Heart Failure	40201	ICD9	Malignant hypertensive heart disease with heart failure
Heart Failure	40211	ICD9	Benign hypertensive heart disease with heart failure
Heart Failure	40291	ICD9	Unspecified hypertensive heart disease with heart failure
Heart Failure	40401	ICD9	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
Heart Failure	40403	ICD9	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease
Heart Failure	40411	ICD9	Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
Heart Failure	40413	ICD9	Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease
Heart Failure	40491	ICD9	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
Heart Failure	40493	ICD9	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease
Heart Failure	4280	ICD9	Congestive heart failure, unspecified
Heart Failure	4281	ICD9	Left heart failure
Heart Failure	42820	ICD9	Systolic heart failure, unspecified
Heart Failure	42821	ICD9	Acute systolic heart failure
Heart Failure	42822	ICD9	Chronic systolic heart failure
Heart Failure	42823	ICD9	Acute on chronic systolic heart failure
Heart Failure	42830	ICD9	Diastolic heart failure, unspecified
Heart Failure	42831	ICD9	Acute diastolic heart failure
Heart Failure	42832	ICD9	Chronic diastolic heart failure
Heart Failure	42833	ICD9	Acute on chronic diastolic heart failure
Heart Failure	42840	ICD9	Combined systolic and diastolic heart failure, unspecified
Heart Failure	42841	ICD9	Acute combined systolic and diastolic heart failure
Heart Failure	42842	ICD9	Chronic combined systolic and diastolic heart failure
Heart Failure	42843	ICD9	Acute on chronic combined systolic and diastolic heart failure
Heart Failure	4289	ICD9	Heart failure, unspecified
Myocardial infarction	194796000	SNOMED	(Myocardial infarction (& [acute] or [silent] or [cardiac rupture following])) or (coronary thrombosis) (disorder)
Myocardial infarction	155319007	SNOMED	Acute Q wave myocardial infarction (disorder)
Myocardial infarction	194805001	SNOMED	Acute Q wave myocardial infarction (disorder)
Myocardial infarction	45881000000101	SNOMED	Acute ST segment elevation myocardial infarction (disorder)
Myocardial infarction	285991000119100	SNOMED	Acute ST segment elevation myocardial infarction involving left main coronary artery (disorder)
Myocardial infarction	10273003	SNOMED	Acute infarction of papillary muscle (disorder)
Myocardial infarction	57054005	SNOMED	Acute myocardial infarction (disorder)
Myocardial infarction	304914007	SNOMED	Acute Q wave myocardial infarction (disorder)
Myocardial infarction	233827001	SNOMED	Acute Q wave infarction - anterolateral (disorder)
Myocardial infarction	233825009	SNOMED	Acute Q wave infarction - anteroseptal (disorder)
Myocardial infarction	233829003	SNOMED	Acute Q wave infarction - inferior (disorder)
Myocardial infarction	233831007	SNOMED	Acute Q wave infarction - inferolateral (disorder)
Myocardial infarction	233833005	SNOMED	Acute Q wave infarction - lateral (disorder)
Myocardial infarction	233836002	SNOMED	Acute Q wave infarction - widespread (disorder)
Myocardial infarction	401303003	SNOMED	Acute ST segment elevation myocardial infarction (disorder)
Myocardial infarction	1.57130810001191E+16	SNOMED	Acute ST segment elevation myocardial infarction due to left coronary artery occlusion (disorder)
Myocardial infarction	840609007	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	840316004	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of distal portion of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	840312002	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of mid portion of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	840309000	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	896691006	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery (disorder)
Myocardial infarction	44811000087108	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of distal portion of circumflex branch of left coronary artery (disorder)
Myocardial infarction	44821000087100	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of mid portion of circumflex branch of left coronary artery (disorder)
Myocardial infarction	44851000087107	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of circumflex branch of left coronary artery (disorder)
Myocardial infarction	846668006	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	44831000087103	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of obtuse marginal branch of circumflex branch of left coronary artery (disorder)
Myocardial infarction	44841000087109	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of circumflex branch of left coronary artery (disorder)
Myocardial infarction	840680009	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery (disorder)
Myocardial infarction	1.57131210001191E+16	SNOMED	Acute ST segment elevation myocardial infarction due to right coronary artery occlusion (disorder)
Myocardial infarction	868217004	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery (disorder)
Myocardial infarction	868224003	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery (disorder)
Myocardial infarction	868220007	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery (disorder)
Myocardial infarction	868225002	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery (disorder)
Myocardial infarction	868226001	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery (disorder)
Myocardial infarction	868214006	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery (disorder)
Myocardial infarction	285981000119103	SNOMED	Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery (disorder)
Myocardial infarction	703164000	SNOMED	Acute ST segment elevation myocardial infarction of anterior wall (disorder)
Myocardial infarction	703165004	SNOMED	Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle (disorder)
Myocardial infarction	1.57128810001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of anterolateral wall (disorder)
Myocardial infarction	1.57129610001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder)
Myocardial infarction	896696001	SNOMED	Acute ST segment elevation myocardial infarction of apex of heart (disorder)
Myocardial infarction	1.57130010001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of atrium (disorder)
Myocardial infarction	703213009	SNOMED	Acute ST segment elevation myocardial infarction of inferior wall (disorder)
Myocardial infarction	703253007	SNOMED	Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle (disorder)
Myocardial infarction	1.22381110001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of inferolateral wall (disorder)
Myocardial infarction	1.22381510001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of inferoposterior wall (disorder)
Myocardial infarction	1.57129210001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of lateral wall (disorder)
Myocardial infarction	1.57130410001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of posterior wall (disorder)
Myocardial infarction	1.57132010001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of posterobasal wall (disorder)
Myocardial infarction	1.57128410001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of posterolateral wall (disorder)
Myocardial infarction	896697005	SNOMED	Acute ST segment elevation myocardial infarction of right ventricle (disorder)
Myocardial infarction	1.57131610001191E+16	SNOMED	Acute ST segment elevation myocardial infarction of septum (disorder)
Myocardial infarction	52035003	SNOMED	Acute anteroapical myocardial infarction (disorder)
Myocardial infarction	62695002	SNOMED	Acute anteroseptal myocardial infarction (disorder)
Myocardial infarction	233826005	SNOMED	Acute non-Q wave infarction - anteroseptal (disorder)
Myocardial infarction	194809007	SNOMED	Acute atrial infarction (disorder)
Myocardial infarction	17531000119105	SNOMED	Acute myocardial infarction due to left coronary artery occlusion (disorder)
Myocardial infarction	846683001	SNOMED	Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery (disorder)
Myocardial infarction	896689003	SNOMED	Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery (disorder)
Myocardial infarction	23311000119105	SNOMED	Acute myocardial infarction due to right coronary artery occlusion (disorder)
Myocardial infarction	703212004	SNOMED	Acute myocardial infarction during procedure (disorder)
Myocardial infarction	54329005	SNOMED	Acute myocardial infarction of anterior wall (disorder)
Myocardial infarction	1204155000	SNOMED	Acute anterior non-ST segment elevation myocardial infarction (disorder)
Myocardial infarction	1204154001	SNOMED	Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement (disorder)
Myocardial infarction	703252002	SNOMED	Acute myocardial infarction of anterior wall involving right ventricle (disorder)
Myocardial infarction	70211005	SNOMED	Acute myocardial infarction of anterolateral wall (disorder)
Myocardial infarction	233828006	SNOMED	Acute non-Q wave infarction - anterolateral (disorder)
Myocardial infarction	836294006	SNOMED	Acute myocardial infarction of apex of heart (disorder)
Myocardial infarction	59063002	SNOMED	Acute myocardial infarction of apical-lateral wall (disorder)
Myocardial infarction	73795002	SNOMED	Acute myocardial infarction of inferior wall (disorder)
Myocardial infarction	1204152002	SNOMED	Acute inferior non-ST segment elevation myocardial infarction (disorder)
Myocardial infarction	1204151009	SNOMED	Acute inferior non-ST segment elevation myocardial infarction of right ventricle (disorder)
Myocardial infarction	70998009	SNOMED	Acute myocardial infarction of basal inferior segment of left ventricle (disorder)
Myocardial infarction	703251009	SNOMED	Acute myocardial infarction of inferior wall involving right ventricle (disorder)
Myocardial infarction	233830008	SNOMED	Acute non-Q wave infarction - inferior (disorder)
Myocardial infarction	65547006	SNOMED	Acute myocardial infarction of inferolateral wall (disorder)
Myocardial infarction	836295007	SNOMED	Acute myocardial infarction of inferolateral wall with posterior extension (disorder)
Myocardial infarction	233832000	SNOMED	Acute non-Q wave infarction - inferolateral (disorder)
Myocardial infarction	76593002	SNOMED	Acute myocardial infarction of inferoposterior wall (disorder)
Myocardial infarction	58612006	SNOMED	Acute myocardial infarction of lateral wall (disorder)
Myocardial infarction	282006	SNOMED	Acute myocardial infarction of basal-lateral wall (disorder)
Myocardial infarction	64627002	SNOMED	Acute myocardial infarction of high lateral wall (disorder)
Myocardial infarction	233834004	SNOMED	Acute non-Q wave infarction - lateral (disorder)
Myocardial infarction	15990001	SNOMED	Acute myocardial infarction of posterolateral wall (disorder)
Myocardial infarction	836293000	SNOMED	Acute myocardial infarction of right ventricle (disorder)
Myocardial infarction	1204222000	SNOMED	Acute non-ST segment elevation myocardial infarction of right ventricle (disorder)
Myocardial infarction	79009004	SNOMED	Acute myocardial infarction of septum (disorder)
Myocardial infarction	307140009	SNOMED	Acute non-Q wave infarction (disorder)
Myocardial infarction	233837006	SNOMED	Acute non-Q wave infarction - widespread (disorder)
Myocardial infarction	401314000	SNOMED	Acute non-ST segment elevation myocardial infarction (disorder)
Myocardial infarction	1208872002	SNOMED	Subsequent anterior non-ST segment elevation myocardial infarction (disorder)
Myocardial infarction	1089451000000100	SNOMED	Acute nontransmural myocardial infarction (disorder)
Myocardial infarction	233838001	SNOMED	Acute posterior myocardial infarction (disorder)
Myocardial infarction	70422006	SNOMED	Acute subendocardial infarction (disorder)
Myocardial infarction	1089471000000100	SNOMED	Acute transmural myocardial infarction (disorder)
Myocardial infarction	233835003	SNOMED	Acute widespread myocardial infarction (disorder)
Myocardial infarction	1163440003	SNOMED	Postoperative acute myocardial infarction (disorder)
Myocardial infarction	194811003	SNOMED	Acute myocardial infarction NOS (disorder)
Myocardial infarction	623341000000106	SNOMED	Acute myocardial infarction NOS (disorder)
Myocardial infarction	72977004	SNOMED	Acute myocardial infarction of atrium (disorder)
Myocardial infarction	46001000000109	SNOMED	Acute non-ST segment elevation myocardial infarction (disorder)
Myocardial infarction	194799007	SNOMED	Anterior myocardial infarction NOS (disorder)
Myocardial infarction	581521000000109	SNOMED	Anterior myocardial infarction NOS (disorder)
Myocardial infarction	723860000	SNOMED	Arrhythmia due to and following acute myocardial infarction (disorder)
Myocardial infarction	194863005	SNOMED	Atrial septal defect due to and following acute myocardial infarction (disorder)
Myocardial infarction	233847009	SNOMED	Cardiac rupture due to and following acute myocardial infarction (disorder)
Myocardial infarction	194865003	SNOMED	Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction (disorder)
Myocardial infarction	194866002	SNOMED	Rupture of chordae tendinae due to and following acute myocardial infarction (disorder)
Myocardial infarction	30277009	SNOMED	Rupture of ventricle due to acute myocardial infarction (disorder)
Myocardial infarction	723861001	SNOMED	Cardiogenic shock unrelated to mechanical complications as current complication following acute myocardial infarction (disorder)
Myocardial infarction	194861007	SNOMED	Certain current complications following acute myocardial infarction (disorder)
